CoordX,CoordY,qual
132178.5,455943.0,-0.05522151190197277
132513.5,450074.5,-0.07835010775427585
127740.0,459039.5,0.096846496587722
136343.0,454771.0,-0.14676619857508622
129466.0,458743.5,-0.14676619857508622
131807.0,451981.5,0.11043364009868475
138577.5,454359.5,0.07248382362764008
131433.5,458211.5,-0.1355137999006364
127575.5,460285.0,0.05661536766584129
137875.0,457888.5,0.14226625251174665
135962.0,458151.0,-0.062788996949842
128518.5,460693.5,0.0707207202298094
128770.5,456158.5,0.14200593242862652
138553.0,457448.0,0.05734855278240941
134314.0,458496.0,
127167.5,460139.0,0.059526235629012714
131769.5,457732.5,-0.12535044575169232
135460.0,458623.5,-0.08921745935663462
136250.5,457063.0,
135346.0,452632.5,0.14308739542757887
132514.5,453150.5,-5.923886033323511e-05
137345.5,458471.5,0.06461747208523794
131933.5,454930.0,-0.1828598584910828
129793.0,454882.5,0.12233050328017007
130947.5,452875.5,
131643.0,452640.0,0.07279269910037729
126906.0,459700.5,0.04800619873097625
137616.0,452327.0,0.0060794429962971516
129860.0,452221.5,-0.03131406522749958
129644.0,457327.0,-0.11844458460395482
132451.0,454764.0,-0.06472903214735234
137388.5,458720.0,
140758.0,456042.0,
129085.5,454107.5,0.07033310501665428
128638.0,456647.5,0.09009947006857755
139359.0,454396.5,0.0962327309894795
134901.5,456285.0,-0.02078716609839408
134324.5,459431.0,-0.1422893693332658
138188.0,456961.0,-0.0872599188227625
132886.0,454528.5,
131634.5,456452.5,-0.1996
137679.5,458976.0,-0.05522151190197277
129831.0,452816.5,-0.008574172272617281
129558.5,458376.5,
135250.0,454260.0,-0.11717511581317594
140889.0,455767.5,0.028908064733084857
129950.0,453975.5,0.08473472570892533
132564.0,452293.5,0.13611157049954245
129698.5,456683.5,0.1008422605999969
132055.0,455576.5,-0.03526794188062857
134339.0,456093.5,
131011.5,452596.5,0.05632433438222101
134185.5,459481.0,0.05061802339510068
128899.0,454992.0,-0.1091632198965291
130900.0,454257.0,0.06475575066502944
138082.5,452340.5,0.12299665870032021
134885.5,459267.0,0.1454780937309015
136557.5,457287.5,0.010242416304806093
130905.5,457190.5,0.06284537777279113
137330.0,456233.5,-0.1422893693332658
131350.5,459454.5,0.06042852987755662
131239.0,456570.5,-0.10364678683692337
132762.0,455673.5,-0.134198478070828
130729.5,452855.5,-0.03131406522749958
136753.0,459402.0,-0.1070837023936084
131228.0,452858.5,-0.04804924129844236
132603.0,452456.5,
127674.0,460346.0,
133592.5,458644.5,-0.07585511100942538
131570.0,451664.5,0.08309192509930706
130736.5,452756.5,-0.03910910880556987
128778.5,456928.0,0.03748433970631082
134520.0,454522.0,-0.03131406522749958
135657.0,457233.0,
141143.0,455845.0,0.09511869554758969
127604.5,458337.5,-0.08007151798948324
135829.0,455205.5,-0.10626819063566607
136820.0,458721.5,
129560.0,457081.0,0.1008422605999969
136848.0,453741.0,0.07609967204877394
129974.5,455477.5,0.10543090591065517
140948.0,455929.0,-0.06472903214735234
133509.5,457773.5,0.00972499538221889
129245.0,453463.0,0.007859632278573291
135179.0,460229.0,0.09820689993678515
132351.5,451196.5,-0.11572692265728984
139428.5,456258.0,0.12968226519590953
132497.0,453943.0,-0.1996
131489.0,457443.0,0.09468442452032344
134371.0,454359.0,-0.0969050797972132
137724.0,454891.0,0.10212765645024226
127475.5,457190.0,0.049925487010195106
130396.5,457830.5,0.07415068081956161
130140.0,454622.5,-0.07835010775427585
135734.0,458269.5,-0.08915034833209484
128811.0,459154.0,0.035738839853098406
135907.5,452719.5,
133566.0,458004.5,0.04269181481715014
130835.0,451395.5,0.07813022396342637
130373.5,455510.0,0.0970039231341678
