138696,454254
138791,454175
138673.5,454192.5
135321.5,454613.5
134281.5,457649.5
135137,453390.5
136281,457856.5
135053.5,454891
135081.5,454979
133232,458393
139138,454896
136119,454633
136116.5,454659
136460.5,455752
136148.5,452415.5
136155.5,452436
136165.5,452466.5
136685.5,452919.5
135137,454872
135174,453337.5
132609,454005
138350,456716.5
138497.5,453822
136866,455320
136827.5,455513.5
134964.5,458948.5
138032.5,454317.5
138791,452777
139105,454338
138548.5,454446
138882,454263
137197.5,456381
137170,456416
135885.5,454255
136132,454616.5
134348,455390.5
134234.5,454786
134329,453422
135935,453257
130964,455087
130055,455655.5
130182,455808
133327.5,456906
135881,454263
135609,452960.5
132215.5,458868
131816,459994
134392.5,459538.5
134418,459377.5
135553,458637.5
135357,458421.5
136583.5,456977.5
138423,457033.5
138764,457469.5
136985,454188
139276,454981.5
131437.5,457175
136040.5,457708.5
138921.5,454259
138759.5,457077.5
130032,455796.5
130638,458822.5
134110.5,454810
140603.5,455925.5
135290.5,452814
130629,458349
132467,449927.5
136473.5,455787.5
137607,454652
131885,457186.5
138786.5,454100
130062.5,456434.5
135309.5,456302
138607.5,454276
134143.5,457485.5
139256,454989
136315,452382
132523,456689.5
136614,457620
134396.5,460567
136076,458232
132069.5,454023
136446.5,456340
129522.5,458069.5
137211.5,453673
137210,453654.5
136735.5,456955
136551.5,456752
137686,455525.5
135811.5,455441
134293,457428.5
134653,456298.5
134511.5,455948
137859.5,455440.5
135224.5,454948.5
134668.5,455935.5
134289.5,457429
128439,455916
130039.5,457353
130059.5,457367
135063.5,457041.5
135137,458756
138588.5,455992.5
135069.5,458105
134978,455536
136231,453180
137143,455894
131122,453934.5
137500.5,456587.5
136115.5,454639.5
131211.5,457134
138603,455324.5
